target_wp_x,target_wp_y,pos_x,pos_y,yaw_sin,yaw_cos,velocity,perp_error,heading_error,passed,steer_angle,throttle,reward,reward_total,plan_x1,plan_y1,plan_x2,plan_y2,plan_x3,plan_y3
1.6409297,0.00016383738,-1.8136234,-1.544737,0.6325661,0.7745064,7.588285,0.0,9.984424e-05,0.0,7.37437338577173e-05,0.04604981086015702,0.0,0.0,0.87499999710689,8.737495212179924e-05,1.7499891807260792,0.0014241484067341048,2.421866462679661,-0.3167612632569994
1.6258913,0.00017350455,-1.8019767,-1.5352235,0.632561,0.7745105,8.163283,0.0,0.0001067135,0.0,8.917269676189973e-05,-0.011459824016094208,0.0,0.0,0.874999962675604,9.341178897548374e-05,1.7499835778793287,0.0018470724171012476,2.4087316494236584,-0.33166417310226926
1.6027132,0.011769736,-1.7801343,-1.525374,0.629944,0.77664053,11.435776,0.0,0.0073435004,0.0,0.001737324114299435,-0.3389152114367485,0.0,0.0,0.874976504692623,0.006425457234115861,1.7499201363516304,0.014663782314603968,2.3897422333158467,-0.34035445753122684
1.5879577,0.01461533,-1.7686754,-1.5161151,0.6285648,0.7777572,7.940905,0.0,0.009203593,0.0,0.00361161671545768,0.01057540052652359,0.0,0.0,0.8749629042911297,0.008053046629794447,1.7498781248668593,0.01837735985128497,2.377628895780994,-0.3507040321228674
1.5733756,0.017139817,-1.7575514,-1.5067254,0.6271623,0.77888864,8.526092,0.0,0.0108932275,0.0,0.005646901231585287,-0.04797481311559677,0.0,0.0,0.8749481321623385,0.009531328411979234,1.7498298859328485,0.021855708683854225,2.365768963122825,-0.3611649220925627
1.5588684,0.019558106,-1.7464825,-1.4973918,0.6257892,0.7799922,8.0837755,0.0,0.01254569,0.0,0.007815787582392254,-0.003748234117031097,0.0,0.0,0.8749311723225448,0.010977128250721835,1.7497736148125762,0.025314278358582132,2.354033406221604,-0.37167390094745134
1.5443454,0.021954598,-1.7353764,-1.4880848,0.62442166,0.7810874,7.977647,0.0,0.014215162,0.0,0.010106332456702293,0.00686597633600235,0.0,0.0,0.8749116461917598,0.01243784587221236,1.7497072168070957,0.028854181873706364,2.3423549053575856,-0.38221121504921474
1.5298321,0.024311261,-1.724247,-1.4788274,0.6230738,0.782163,8.002782,0.0,0.01589012,0.0,0.012505385791678963,0.00435230539560318,0.0,0.0,0.8748894711831912,0.013903255232746548,1.7496319160317317,0.03243069396600706,2.3307732165932435,-0.3927802398725637
1.5152925,0.026663413,-1.7130601,-1.469605,0.62173325,0.78322905,7.994051,0.0,0.017594399,0.0,0.015006712734112925,0.005225751173496247,0.0,0.0,0.8748645895270193,0.015394291014196038,1.7495464055550012,0.036089370956447264,2.3192402599491375,-0.40337143951013243
1.5007595,0.028984057,-1.7018414,-1.4604379,0.6204144,0.78427416,8.031581,0.0,0.019310525,0.0,0.017600856104709368,0.0014708617806434635,0.0,0.0,0.8748368392488562,0.01689567039688661,1.749449790514273,0.03981085666319506,2.307775299614404,-0.4139938152073681
1.4859887,0.030553477,-1.690639,-1.4508592,0.61928874,0.78516334,7.0667562,0.0,0.020558145,0.0,0.020171153190128962,0.09800932405710222,0.0,0.0,0.874815140046053,0.017987096789229995,1.7493605213990122,0.04281316491809983,2.296100501799281,-0.42579581439329695
1.4711858,0.03162259,-1.6792985,-1.4413844,0.61849576,0.7857882,7.7348456,0.0,0.021491315,0.0,0.022649459962610478,0.031216294338703154,0.0,0.0,0.8747979202960656,0.018803429964129148,1.7492792936218333,0.045274166610356104,2.2842792454800054,-0.43846919188020217
1.4564003,0.03243562,-1.667875,-1.4320309,0.6179034,0.78625405,7.867156,0.0,0.022267407,0.0,0.025011155772153636,0.01799322592973709,0.0,0.0,0.8747830517982862,0.019482354054525752,1.7491995235999556,0.04748664840943084,2.2724123091178825,-0.4515829113902943
1.4416238,0.032936137,-1.6564554,-1.4226773,0.61746776,0.7865962,7.943753,0.0,0.022842579,0.0,0.0272246500676181,0.010336927073001862,0.0,0.0,0.8747716279733269,0.019985523586448062,1.7491248699056743,0.04937706498009242,2.2605281603415976,-0.4651564104954926
1.426842,0.03306644,-1.645004,-1.4133407,0.61724526,0.7867708,7.1159415,0.0,0.023170417,0.0,0.0292516223055979,0.09317109469652177,0.0,0.0,0.8747651379246353,0.020272293793868634,1.7490594745599972,0.050856199004207236,2.2485672154590177,-0.47932454850621165
1.4120461,0.033096675,-1.6335298,-1.4040066,0.6170827,0.78689826,8.118826,0.0,0.023434516,0.0,0.03109964727511415,-0.007124473655223847,0.0,0.0,0.8747596804335447,0.02050330628320668,1.7489929175263264,0.05226177510622232,2.236600580332733,-0.49366269153011
